date,state,positive,new_positive,negative,death,new_death,hospitalized
20200715,Texas,282365,7307,2359834,3432,110,
20200715,Utah,30891,413,401189,233,7,1913
20200715,Virginia,73527,1084,771455,1992,15,10608
20200715,Virgin Islands,243,37,4637,6,0,
20200715,Vermont,1318,13,77040,56,0,
20200715,Washington,42304,547,675930,1404,5,4788
20200715,Wisconsin,42197,848,686299,834,1,3923
20200715,West Virginia,4557,150,213347,97,0,
20200715,Wyoming,1985,34,40929,22,0,131
20200714,Alaska,1579,40,147894,17,0,
20200714,Alabama,57255,1710,471834,1164,40,7123
20200714,Arkansas,29733,794,360566,331,8,1872
20200714,American Samoa,0,0,816,0,0,
